,momentum_ret
2021-02-28,0.0
2021-03-31,-0.004180749028100035
2021-04-30,0.015696704814489763
2021-05-31,0.020385576836620706
2021-06-30,0.013351702662599017
2021-07-31,0.021348510263482716
2021-08-31,0.018932566142756704
2021-09-30,-0.013954425641948298
2021-10-31,0.0007095900392740707
2021-11-30,-0.010532095990659173
2021-12-31,0.014816500307006465
2022-01-31,-0.08187351256735662
2022-02-28,0.0197358025588233
2022-03-31,0.039424825314584605
2022-04-30,0.021366370375399027
2022-05-31,0.00321670652669255
2022-06-30,-0.040493221466825206
2022-07-31,-0.022155459052617434
2022-08-31,-0.004281519522472158
2022-09-30,0.007215911381419273
2022-10-31,0.03608563828201866
2022-11-30,-0.044811302814997726
2022-12-31,-0.01576174289448649
2023-01-31,0.044540304575641496
2023-02-28,-0.030924620742564288
2023-03-31,0.042325676683597
2023-04-30,0.00840006059116801
2023-05-31,0.04501538838912189
2023-06-30,0.023635298744745913
2023-07-31,0.013935175978447277
2023-08-31,-0.024816420201617263
2023-09-30,-0.03257722504847553
2023-10-31,-0.04044477286009691
2023-11-30,0.0453219313385698
2023-12-31,0.04028633230478047
2024-01-31,-0.018190948003667433
2024-02-29,0.04015032036214563
2024-03-31,0.0321579701329571
2024-04-30,0.0018168413182791396
2024-05-31,0.020182751161964378
2024-06-30,0.02669765033395876
2024-07-31,-0.004899598568505952
2024-08-31,-0.008819303292306244
2024-09-30,-0.00029395899366164004
2024-10-31,0.005111259200095423
2024-11-30,0.0021556826088632002
2024-12-31,0.05353118578576412
2025-01-31,-0.002016152534944261
2025-02-28,-0.009679512517683704
2025-03-31,0.008231963763529757
2025-04-30,-0.011628411505714616
2025-05-31,-0.012618391471273808
2025-06-30,0.05610032096022495
2025-07-31,0.04359728569763274
2025-08-31,-0.005251087642300827
2025-09-30,0.06062220160848796
2025-10-31,0.13939541712618564
2025-11-30,-0.010559376279449254
2025-12-31,0.07174902438012261
2026-01-31,0.2031409009053062
2026-02-28,0.05770499392895355
2026-03-31,-0.12960440289556185
2026-04-30,0.17113590636317216
2026-05-31,0.060808627932808626
