symbol
BTC/USDT
ETH/USDT
SOL/USDT
ZEC/USDT
OPN/USDT
USD1/USDT
XRP/USDT
MUB/USDT
BNB/USDT
WLD/USDT
TRX/USDT
DEXE/USDT
NEAR/USDT
DOGE/USDT
SNDKB/USDT
SPCXB/USDT
UNI/USDT
AAVE/USDT
PEPE/USDT
SXT/USDT
AVAX/USDT
ADA/USDT
XAUT/USDT
TAO/USDT
RLUSD/USDT
XLM/USDT
DODO/USDT
KITE/USDT
SUI/USDT
LINK/USDT
UTK/USDT
XEC/USDT
PAXG/USDT
PUMP/USDT
ARB/USDT
LTC/USDT
TREE/USDT
TON/USDT
U/USDT
SYN/USDT
ENA/USDT
XPL/USDT
JTO/USDT
BCH/USDT
VANRY/USDT
DCR/USDT
POL/USDT
T/USDT
ALLO/USDT
LUMIA/USDT
